id,family,family_file,name,tier,bpmn
MIR-1,MIR,01-families/mirror-and-actualization.md,"Source-of-truth mapping and register upkeep","core",bpmn/mirror-and-actualization/MIR-1-source-of-truth-mapping-and-register-upkeep.bpmn
MIR-2,MIR,01-families/mirror-and-actualization.md,"Sensing and ingest from reality","core",bpmn/mirror-and-actualization/MIR-2-sensing-and-ingest-from-reality.bpmn
MIR-3,MIR,01-families/mirror-and-actualization.md,"Scheduled refresh","core",bpmn/mirror-and-actualization/MIR-3-scheduled-refresh.bpmn
MIR-4,MIR,01-families/mirror-and-actualization.md,"Event-driven actualization","recommended",bpmn/mirror-and-actualization/MIR-4-event-driven-actualization.bpmn
MIR-5,MIR,01-families/mirror-and-actualization.md,"On-demand actualization at consumption or verification","recommended",bpmn/mirror-and-actualization/MIR-5-on-demand-actualization-at-consumption-or-verification.bpmn
MIR-6,MIR,01-families/mirror-and-actualization.md,"Freshness SLA definition and monitoring","core",bpmn/mirror-and-actualization/MIR-6-freshness-sla-definition-and-monitoring.bpmn
MIR-7,MIR,01-families/mirror-and-actualization.md,"Drift detection between reality and model, and model and projections","core",bpmn/mirror-and-actualization/MIR-7-drift-detection-between-reality-and-model-and-model-and-projections.bpmn
MIR-8,MIR,01-families/mirror-and-actualization.md,"Staleness quarantine","core",bpmn/mirror-and-actualization/MIR-8-staleness-quarantine.bpmn
MIR-9,MIR,01-families/mirror-and-actualization.md,"Archival of superseded states","core",bpmn/mirror-and-actualization/MIR-9-archival-of-superseded-states.bpmn
MIR-10,MIR,01-families/mirror-and-actualization.md,"Reasons-for-update taxonomy","recommended",bpmn/mirror-and-actualization/MIR-10-reasons-for-update-taxonomy.bpmn
MIR-11,MIR,01-families/mirror-and-actualization.md,"Model retirement and succession","core",bpmn/mirror-and-actualization/MIR-11-model-retirement-and-succession.bpmn
ACT-1,ACT,01-families/actuation-and-reality-feedback.md,"Actionable signal definition and cataloging","recommended",bpmn/actuation-and-reality-feedback/ACT-1-actionable-signal-definition-and-cataloging.bpmn
ACT-2,ACT,01-families/actuation-and-reality-feedback.md,"Signal emission and qualification","recommended",bpmn/actuation-and-reality-feedback/ACT-2-signal-emission-and-qualification.bpmn
ACT-3,ACT,01-families/actuation-and-reality-feedback.md,"Effector registration and capability contracts","core",bpmn/actuation-and-reality-feedback/ACT-3-effector-registration-and-capability-contracts.bpmn
ACT-4,ACT,01-families/actuation-and-reality-feedback.md,"Pre-actuation impact assessment","recommended",bpmn/actuation-and-reality-feedback/ACT-4-pre-actuation-impact-assessment.bpmn
ACT-5,ACT,01-families/actuation-and-reality-feedback.md,"Actuation decision","core",bpmn/actuation-and-reality-feedback/ACT-5-actuation-decision.bpmn
ACT-6,ACT,01-families/actuation-and-reality-feedback.md,"Command issue and effector dispatch","core",bpmn/actuation-and-reality-feedback/ACT-6-command-issue-and-effector-dispatch.bpmn
ACT-7,ACT,01-families/actuation-and-reality-feedback.md,"Model-first change (intent-ahead pattern)","core",bpmn/actuation-and-reality-feedback/ACT-7-model-first-change-intent-ahead-pattern.bpmn
ACT-8,ACT,01-families/actuation-and-reality-feedback.md,"Reality-first change registration (reality-ahead pattern)","core",bpmn/actuation-and-reality-feedback/ACT-8-reality-first-change-registration-reality-ahead-pattern.bpmn
ACT-9,ACT,01-families/actuation-and-reality-feedback.md,"Actuation verification (closing the loop)","core",bpmn/actuation-and-reality-feedback/ACT-9-actuation-verification-closing-the-loop.bpmn
ACT-10,ACT,01-families/actuation-and-reality-feedback.md,"Divergence and refusal reconciliation","core",bpmn/actuation-and-reality-feedback/ACT-10-divergence-and-refusal-reconciliation.bpmn
ACT-11,ACT,01-families/actuation-and-reality-feedback.md,"Rollback and compensation","recommended",bpmn/actuation-and-reality-feedback/ACT-11-rollback-and-compensation.bpmn
